id;start_date;end_date;language
1;2019-06-03T14:21:06;2019-06-03T07:29:23;FRENCH
2;2019-06-03T15:51:11;2019-06-03T00:57:21;FRENCH
3;2019-06-03T11:23:16;2019-06-03T02:47:16;FRENCH
4;2019-06-03T00:35:07;2019-06-03T08:02:09;FRENCH
5;2019-06-03T09:33:46;2019-06-03T14:17:55;FRENCH
6;2019-06-03T15:50:47;2019-06-03T17:07:43;FRENCH
7;2019-06-03T01:13:06;2019-06-03T13:53:53;FRENCH
8;2019-06-02T22:44:25;2019-06-03T06:44:34;FRENCH
9;2019-06-03T08:32:31;2019-06-03T16:57:09;FRENCH
10;2019-06-03T11:50:41;2019-06-03T09:06:55;FRENCH
